ID;Active (0/1);Manufacturer;Family;Categories (x,y,z...);Image URLs (x,y,z...);Name *;Short description;Description;Volume;Weight;Width;Height;Depth;Reference #;EAN13;UPC;ASIN;ART;Reference;Default shop;Base price;Wholesale price;Price tax excluded or Price tax included;Quantity;Status
1;1;L'Erboristica by Athena's;;Anti-aging;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6LyflM1WDNLT0VzaUFzQm53NjNJWWdqdjM5djF1YXA0SHg0eFozZEM1OENCZEE/0B5KHR8oiWOnAfnVQc1FIVllDbWxOTlExY1Rhb2ZVdTNzSWFJY0hoMUZjc2dJS1h6cGJxcmM;Rebalancing Anti-Aging Face Cream;"Purifying. Matting. Anti-Imperfection Face cream for combination and impure skin types or skin with acne. Guarantees hydration and an anti-ageing action, matting and normalising imperfections and discoloration.
";"Specifically formulated for combination and impure skin types,
which may leave the forehead, nose and chin shiny from an 
overproduction of sebum, while the cheeks can appear dry and listless. 
It is not only youthful skin that is prey to these imperfections, but 
also more mature combination or impure skin, especially if further 
tested by stress, pollution or hormonal changes.
This face cream not only purifies and balances sebum, but also has effective antioxidant and anti-wrinkle properties.
A rapid-absorption light gel that ensures continuous hydration without 
greasiness. Day after day, counteracts oiliness and lightens 
discolouration, leaving the face matte, refined and renewed. Also 
effective on skin with acne problems. This daily treatment can also be 
used as a base for make-up.
";50;;;;;ea;;;;6503;EA6503;Main;;;£13.50;6;1
1;1;L'Erboristica by Athena's;;Cleanser & Face Wash;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6LyflM1WDNLT0VzaUFzQm53NjNJWWdqdjM5djF1YXA0SHg0eFozZEM1OENCZEE/0B5KHR8oiWOnAfnVQc1FIVllDbWxOTlExY1Rhb2ZVdTNzSWFJY0hoMUZjc2dJS1h6cGJxcmM;Micellar Face Tonic with AHA and Hyaluronic acid;"Dermopurifying, soothing, refreshing 
No alcohol Micellar face tonic based on Hyaluronic 
acid and AHA, ideal for combined and impure skin. Tones and purify 
delicately and no aggressive
";"Tonic, based on micellar water, with a soothing and 
refreshing formulation. It moisturizes and cleanses with a single 
action, normalizing the visibly shiny and impure areas of the skin.";200;;;;;ea;;;;6505;EA6505;Main;;;£6.99;6;1
1;1;"Cosmofarma
";;Face Masks;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;Green Clay Mask;Osmosis Purifying & Remineralising;"With Green clay, used for a long time to remove impurities from the skin; well-tolerated and traditionally used for detoxification, skin
conditions, stimulation and support against impurities. Great absorptive capacity by osmosis; remineralising properties. Natural
therapeutic earth; fine and full of solar energy. With purifying, soothing essential oils of Lemon, Lavender and Tea tree.";100;;;;;cf;;000518100100 883272704094;B000WUJJ0K;CLA10010;CFCLA10010;Main;;;£9.90;3;1
1;1;"Cosmofarma
";;Face Masks;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;White Clay Mask;Detoxifying Revitalising Refining;"With Kaolin: the finest and gentlest of the clays, therefore it can be used on very delicate, dry and mature skin and for lifeless hair, and
its healing and antiseptic virtues make it very precious for treating irritated skin. It purifies the skin and helps close dilated pores and
it can be used for renewing and remineralising . With energizing, purifying Lemon and Orange essential oils.";100;;;;;cf;;;;CLA10011;CFCLA10011;Main;;;£9.90;3;1
1;1;"Cosmofarma
";;Face Masks;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;Yellow Clay Mask;Purifying Remineralising;"With yellow Clay, which has high ion-exchange capacity, a purifying, astringent and remineralizing action and absorbs oiliness
without dehydrating the skin. Yellow clay may help reduce oiliness of the scalp and skin therefore suitable for regular and oily
skin. With purifying essential oils of Sage and Tea tree.";50;;;;;cf;;;;CLA10012;CFCLA10012;Main;;;£9.90;3;1
1;1;"Cosmofarma
";;Face Masks;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;Light Red Clay Mask;Soothing, Purifying & Smoothing;"This Light Rose Clay is suitable for delicate skin due to its smoothing soothing action. Ideal for tired skin that has lost its shine. It
is the softest of all clays, helps provide vivacity to scalp and hair. Anti-aging properties for all kind of skin. It is recommendable
for stimulating circulation. With pure, soothing essential oil of Lavender.";50;;;;;cf;;;;CLA10013;CFCLA10013;Main;;;£9.90;3;1
1;1;"Cosmofarma
";;Face Masks;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;Black Clay Mask;Anti-aging Rejuvenating for a Healthy Looking;"With rejuvenating Black Clay contains an elevated concentration of titanium. Its rich composition of mineral salts and oligoelements
is essential for a healthy-looking and a well-balanced skin, to help prevent visible skin aging and photoaging. May help
reduce the oiliness of skin and scalp. With precious, stimulating, rebalancing essential oil of Ylang Ylang";50;;;;;cf;;;;CLA10014;CFCLA10014;Main;;;£9.90;3;1
1;1;"Cosmofarma
";;Body Butter,Moisturiser;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;Warm Amber;"The light texture of the Body Butter is perfect for all skin types that 
desire a soft yet rich moisturizer, infused with a delicious scent: Warm
Amber.";"
";250;;;;;cf;;;;CBB10010;CFCBB10010;Main;;;£10.50;3;1
1;1;"Cosmofarma
";;Body Butter,Moisturiser;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;Fresh Milk&Mint;"The light texture of the Body Butter is perfect for all skin types that 
desire a soft yet rich moisturizer, infused with a delicious 
scent:ÊFresh Milk&Mint.";;250;;;;;cf;;;;CBB10011;CFCBB10011;Main;;;£10.50;3;1
1;1;"Cosmofarma
";;Body Butter,Moisturiser;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;Green Citrus;"The light texture of the Body Butter is perfect for all skin types that 
desire a soft yet rich moisturizer, infused with a delicious 
scent:ÊGreen Citrus.";;250;;;;;cf;;;;CBB10012;CFCBB10012;Main;;;£10.50;3;1
1;1;"Cosmofarma
";;Body Butter,Moisturiser;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;Soft Floral;"The light texture of the Body Butter is perfect for all skin types that 
desire a soft yet rich moisturizer, infused with a delicious scent: Soft
Florals.";;250;;;;;cf;;;;CBB10013;CFCBB10013;Main;;;£10.50;3;1
1;1;"BioVera
";;Moisturiser;;Skin Toner;"Refreshing complexion-perfecting toner that maintains hydration of skin while purifying it. It works to rebalance impurities while guarding 
against dehydration.
Natural & precious organic Orange & Spelt (Triticum spelta) and 
Mallow extracts have moisturizing, soothing, decongesting properties.
Skin is left supple, soft and feels pure and cleansed.
";;100;;;;;bv;;;;10001;BV10001;Main;;;£9.90;3;1
1;1;"BioVera
";;Cleanser & Face Wash;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;Scrub Face;"Delicate for all skin types.
Face & Body: mechanical exfoliation method involves physically 
scrubbing the dead skin and impurities off your skin. This mild 
smoothing formula gently yet thoroughly cleanses, purifies, hydrates the
skin.This scrub will leave your skin soft, smooth and fresh; also helps
your moisturizer and skin care treatments penetrate better.";;150;;;;;bv;;;;10002;BV10002;Main;;;£10.50;3;1
1;1;"BioVera
";;Cellulite;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6Lyfm13SkdMclFkUWJFcHZpeVNXY2FFU2RETDVtMjRDajNUWkNzamZ1bFFYNDA/0B5KHR8oiWOnAfm5uc1Y4VWYxN2t6ekpXOFhMcmxxejhDWjYzMF9sTnN0SFFUTDB3VlZuYlU/0B5KHR8oiWOnAM2RmQmRyZHN6NEU;Gel - Toning Firming Gel Against visible signs of Cellulite;Gel cream for Skin tone & firmness;;150;;;;;bv;;;;10003;BV10003;Main;;;£12.00;3;1
